if_ncov,old_gis_id,new_id,station_full_name,station,station_train_name,province_city,lat,long,address,province,city,站名,lng火星,lat火星,type,WGS84_Lng,WGS84_Lat,if_in_gis
#N/A,60565600061,3912,黑山寺站,黑山寺,黑山寺火车站,,40.489198,116.785997,,,,,116.785997,40.489198,freight,116.779852,40.487889,1
#N/A,49560600077,3913,潘集西站,潘集西,潘集西火车站,,32.746032,116.800928,,,,,116.800928,32.746032,freight,116.79565,32.748076,1
#N/A,53562600054,3914,八里铺站,八里铺,八里铺火车站,,35.525297,116.775912,,,,,116.775912,35.525297,freight,116.770333,35.525489,1
#N/A,55561600064,3915,十二里阁站,十二里阁,十二里阁火车站,,36.757506,116.777964,,,,,116.777964,36.757506,freight,116.772255,36.757204,1
#N/A,50567600002,3916,濉溪站,濉溪,濉溪火车站,,33.92621,116.772333,,,,,116.772333,33.92621,freight,116.766913,33.927613,1
#N/A,54562600058,3917,肥城站,肥城,肥城火车站,,36.222821,116.774396,,,,,116.774396,36.222821,freight,116.768742,36.222765,1
#N/A,57561500005,3918,冯家口站,冯家口,冯家口火车站,,38.164189,116.74022,,,,,116.74022,38.164189,freight,116.734354,38.163504,1
#N/A,51564600021,3919,刘店站,刘店,刘店火车站,,34.347167,116.766769,,,,,116.766769,34.347167,freight,116.761306,34.348433,1
#N/A,59562500120,3920,廊坊新站,廊坊新,廊坊新火车站,,39.50212,116.718196,,,,,116.718196,39.50212,freight,116.712201,39.500976,1
#N/A,49561500096,3921,凤台站,凤台,凤台火车站,,32.760275,116.719303,,,,,116.719303,32.760275,freight,116.714027,32.762285,1
#N/A,53561500030,3922,孙氏店站,孙氏店,孙氏店火车站,,35.455427,116.702658,,,,,116.702658,35.455427,freight,116.697152,35.455698,1
#N/A,60565500048,3923,小水峪站,小水峪,小水峪火车站,,40.452985,116.717981,,,,,116.717981,40.452985,freight,116.711868,40.451689,1
#N/A,42562500047,3924,界头站,界头,界头火车站,,28.241452,116.68702,,,,,116.68702,28.241452,freight,116.682195,28.244824,1
#N/A,54562500091,3925,穆庄站,穆庄,穆庄火车站,,36.22047,116.68808,,,,,116.68808,36.22047,freight,116.682529,36.220469,1
#N/A,59566500113,3926,通州东站,通州东,通州东火车站,,39.897297,116.673787,,,,,116.673787,39.897297,freight,116.667855,39.896163,1
