"","new_id","timestamp","value","accumulate","out_or_in","station","lat","long","province"
"184",990,"1578960000",2,3,"out","麻城",31.146285,114.96389,"湖北"
"185",1028,"1578960000",0,2,"out","徐州",34.265367,117.207387,"江苏"
"186",1033,"1578960000",0,1,"out","无锡",31.587145,120.305513,"江苏"
"187",1055,"1578960000",0,1,"out","南京南",31.968681,118.797932,"江苏"
"188",1105,"1578960000",0,2,"out","南昌",28.662028,115.919161,"江西"
"189",1358,"1578960000",0,3,"out","信阳",32.128928,114.082245,"河南"
"190",1435,"1578960000",0,4,"out","高碑店",39.328714,115.858912,"河北"
"191",1666,"1578960000",2,2,"out","哈尔滨",45.761109,126.632312,"黑龙江"
"192",1725,"1578960000",0,3,"out","郑州",34.746377,113.65971,"河南"
"193",1964,"1578960000",1,3,"out","阜阳",32.91468,115.868148,"安徽"
"194",2086,"1578960000",1,1,"out","南宁东",22.842049,108.414219,"广西壮族自治区"
"195",2205,"1578960000",0,1,"out","广州南",22.988726,113.269446,"广东"
"196",2208,"1578960000",0,1,"out","广州",23.14891,113.257569,"广东"
"197",2287,"1578960000",0,1,"out","深圳东",22.601157,114.118789,"广东"
"198",2778,"1578960000",1,1,"out","沈阳南",41.660199,123.348874,"辽宁"
"199",5277,"1578960000",0,1,"out","防城港",21.629406,108.357342,"广西"
"200",6371,"1578960000",0,1,"out","杭州东",30.291066,120.212918,"浙江"
"201",6420,"1578960000",1,1,"out","天津西",39.158531,117.163382,"天津"
"202",6423,"1578960000",2,2,"out","天津",39.135656,117.210114,"天津"
"203",6489,"1578960000",0,1,"out","吐鲁番北",43.02236,89.111139,"新疆维吾尔自治区"
"204",6523,"1578960000",0,1,"out","库车",41.694913,83.016589,"新疆维吾尔自治区"
"205",6663,"1578960000",0,1,"out","石柱县",29.965289,108.097576,"重庆"
"206",6698,"1578960000",0,1,"out","涪陵北",29.768328,107.276696,"重庆"
"207",7015,"1578960000",1,1,"out","曲阜东",35.55627,117.068864,"山东"
"208",7517,"1578960000",0,1,"out","十堰东",32.50921,111.082196,"河北"
"209",7592,"1578960000",0,1,"out","萧县北",34.236513,116.941524,"安徽"
"210",7602,"1578960000",1,1,"out","永城北",34.741222,113.66245,"河南"
"211",0,"1579046400",1,20,"out",NA,0,0,NA
"212",52,"1579046400",0,1,"out","上海虹桥",31.19418,121.320569,"上海"
"213",265,"1579046400",0,1,"out","沈阳",41.795132,123.393331,"辽宁"
"214",507,"1579046400",0,1,"out","大连北",39.016736,121.607407,"辽宁"
"215",772,"1579046400",1,2,"out","怀化南",27.511489,109.994749,"湖南"
"216",812,"1579046400",1,1,"out","襄阳",32.058011,112.1548,"湖北"
"217",823,"1579046400",4,16,"out","武汉",30.607096,114.42438,"湖北"
"218",857,"1579046400",0,2,"out","株洲",27.835476,113.15673,"湖南"
"219",859,"1579046400",0,2,"out","长沙南",28.146991,113.065259,"湖南"
"220",862,"1579046400",0,2,"out","长沙",28.193949,113.013032,"湖南"
"221",911,"1579046400",0,1,"out","绥化",46.644663,127.015618,"黑龙江"
"222",961,"1579046400",6,21,"out","汉口",30.619097,114.254389,"湖北"
"223",962,"1579046400",10,20,"out","武昌",30.528422,114.317801,"湖北"
"224",969,"1579046400",0,2,"out","荆州",30.369761,112.213011,"湖北"
"225",990,"1579046400",0,3,"out","麻城",31.146285,114.96389,"湖北"
"226",1028,"1579046400",0,2,"out","徐州",34.265367,117.207387,"江苏"
"227",1033,"1579046400",0,1,"out","无锡",31.587145,120.305513,"江苏"
"228",1055,"1579046400",1,2,"out","南京南",31.968681,118.797932,"江苏"
"229",1105,"1579046400",0,2,"out","南昌",28.662028,115.919161,"江西"
"230",1317,"1579046400",2,2,"out","邢台",37.06985,114.492925,"河北"
"231",1352,"1579046400",1,1,"out","淮滨",32.500942,115.412152,"河南"
"232",1358,"1579046400",0,3,"out","信阳",32.128928,114.082245,"河南"
"233",1435,"1579046400",0,4,"out","高碑店",39.328714,115.858912,"河北"
"234",1666,"1579046400",0,2,"out","哈尔滨",45.761109,126.632312,"黑龙江"
"235",1725,"1579046400",2,5,"out","郑州",34.746377,113.65971,"河南"
"236",1960,"1579046400",1,1,"out","合肥南",31.798569,117.290369,"安徽"
"237",1964,"1579046400",0,3,"out","阜阳",32.91468,115.868148,"安徽"
"238",2027,"1579046400",1,1,"out","北京南",39.864896,116.379054,"北京"
"239",2086,"1579046400",0,1,"out","南宁东",22.842049,108.414219,"广西壮族自治区"
"240",2093,"1579046400",1,1,"out","柳州",24.307475,109.389088,"广西壮族自治区"
"241",2205,"1579046400",0,1,"out","广州南",22.988726,113.269446,"广东"
"242",2208,"1579046400",0,1,"out","广州",23.14891,113.257569,"广东"
"243",2287,"1579046400",0,1,"out","深圳东",22.601157,114.118789,"广东"
"244",2778,"1579046400",0,1,"out","沈阳南",41.660199,123.348874,"辽宁"
"245",5277,"1579046400",0,1,"out","防城港",21.629406,108.357342,"广西"
"246",6371,"1579046400",0,1,"out","杭州东",30.291066,120.212918,"浙江"
"247",6420,"1579046400",0,1,"out","天津西",39.158531,117.163382,"天津"
"248",6423,"1579046400",0,2,"out","天津",39.135656,117.210114,"天津"
