old_gis_id,id,name_simple,name,lat,long,state,transit,out,in,if_new
1334,1334,石家庄,石家庄火车站,38.010514,114.48447,河北,火车,2,15,477
1340,1340,秦皇岛,秦皇岛火车站,39.964901,119.592164,河北,火车,0,2,777
1345,1345,许昌东,许昌东火车站,34.048122,113.888164,河南,火车,0,1,481
1352,1352,淮滨,淮滨火车站,32.500942,115.412152,河南,火车,1,2,94
1355,1355,信阳东,信阳东火车站,32.144317,114.160266,河南,火车,1,12,915
1358,1358,信阳,信阳火车站,32.128928,114.082245,河南,火车,5,3,35
1363,1363,新乡东,新乡东火车站,35.314417,113.978667,河南,火车,1,1,633
1366,1366,新乡,新乡火车站,35.305796,113.859636,河南,火车,0,3,35
1369,1369,商丘南,商丘南火车站,34.408177,115.704652,河南,火车,0,6,249
1372,1372,商丘,商丘火车站,34.443639,115.656869,河南,火车,1,3,997
1377,1377,三门峡南,三门峡南火车站,34.748628,111.160317,河南,火车,0,2,770
1379,1379,灵宝,灵宝火车站,34.510657,110.897948,河南,火车,0,1,366
1388,1388,鲁山,鲁山火车站,33.748211,112.903871,河南,火车,0,2,340
1389,1389,唐河,唐河火车站,32.666907,112.85123,河南,火车,0,1,1118
1400,1400,漯河西,漯河西火车站,33.572963,113.96332,河南,火车,0,1,631
1428,1428,沧州西,沧州西火车站,38.306928,116.767942,河北,火车,0,1,334
1435,1435,高碑店,高碑店火车站,39.328714,115.858912,河北,火车,6,0,33
1436,1436,高碑店东,高碑店东火车站,39.289054,115.945041,河北,火车,1,1,766
1437,1437,保定,保定火车站,38.863454,115.479882,河北,火车,2,2,475
1438,1438,保定东,保定东火车站,38.864146,115.60163,河北,火车,1,2,1089
1462,1462,三亚,三亚火车站,18.296376,109.49287,海南,火车,0,5,177
1465,1465,海口东,海口东火车站,19.983649,110.3432,海南,火车,4,1,221
1466,1466,美兰,美兰火车站,19.941569,110.461373,海南,火车,3,0,210
1468,1468,海口,海口火车站,20.027378,110.16252,海南,火车,0,4,343
1485,1485,邯郸东,邯郸东火车站,36.62012,114.559179,河北,火车,1,2,165
1488,1488,邯郸,邯郸火车站,36.603392,114.476689,河北,火车,0,7,52
1558,1558,富锦,富锦火车站,47.237759,132.047004,黑龙江,火车,0,2,815
1568,1568,佳木斯,佳木斯火车站,46.804719,130.383246,黑龙江,火车,4,6,815
1587,1587,东海,东海火车站,45.291019,131.326559,黑龙江,火车,0,2,67
1589,1589,鸡西,鸡西火车站,45.3047,130.978111,黑龙江,火车,0,3,185
1602,1602,齐齐哈尔,齐齐哈尔火车站,47.33966,123.995109,黑龙江,火车,4,2,649
1655,1655,牡丹江,牡丹江火车站,44.590098,129.612947,黑龙江,火车,5,3,185
1665,1665,哈尔滨西,哈尔滨西火车站,45.706897,126.577918,黑龙江,火车,1,10,621
